kode_item,nama_item,kategori,jumlah,harga,satuan,tanggal_kadaluarsa,lokasi
FNB-0129,Teh Celup 100pcs Seri-129,Food & Beverage,103,14455500.0,box,2028-04-28,Gudang A
MED-0120,Betadine 30ml Pro,Medical,182,9432500.0,kg,2027-10-06,Toko Utama
MED-0121,Sarung Tangan Latex,Medical,156,7551500.0,lusin,2028-05-08,Toko Utama
MED-0122,Sarung Tangan Latex Pro,Medical,57,13899500.0,box,2028-03-22,Gudang B
MED-0123,Masker Bedah 50pcs,Medical,80,5749000.0,lusin,2027-06-22,Gudang A
MED-0124,Termometer Digital,Medical,183,2569000.0,kg,2027-11-20,Gudang B
MED-0125,Termometer Digital Pro,Medical,111,11387500.0,unit,2027-07-31,Toko Utama
MED-0126,Tensimeter Digital,Medical,47,9998500.0,kg,2026-07-19,Gudang B
MED-0127,Kapas Gulung,Medical,144,14772500.0,kg,2026-12-28,Gudang A
CLN-0100,Kain Lap Microfiber Pro,Cleaning,90,7371500.0,box,2027-10-24,Toko Utama
CLN-0101,Sapu Lidi,Cleaning,136,11638500.0,kg,2027-06-06,Toko Utama
CLN-0102,Sapu Lidi Pro,Cleaning,111,1746500.0,unit,2026-11-11,Gudang A
CLN-0103,Kemoceng,Cleaning,24,3770000.0,unit,2026-12-18,Toko Utama
CLN-0104,Ember Plastik,Cleaning,132,4358000.0,liter,2028-05-19,Rak D2
CLN-0105,Sikat WC,Cleaning,20,10022500.0,unit,2026-07-02,Toko Utama
CLN-0106,Sikat WC Pro,Cleaning,18,8462000.0,kg,2028-04-06,Toko Utama
CLN-0107,Pewangi Ruangan,Cleaning,146,5489500.0,liter,2026-10-25,Rak C1
CLN-0108,Pewangi Ruangan Pro,Cleaning,114,1097000.0,box,2026-05-29,Toko Utama
CLN-0109,Tempat Sampah,Cleaning,186,12436000.0,unit,2027-02-28,Toko Utama
FNB-0134,Mie Instan 40pcs Seri-134,Food & Beverage,10,5968500.0,unit,2027-10-17,Gudang B
FNB-0138,Mie Instan 40pcs Seri-138,Food & Beverage,41,3681000.0,box,2028-04-16,Toko Utama
MED-0135,Plester Luka Seri-135,Medical,92,6208500.0,unit,2027-09-18,Toko Utama
CLN-0110,Lap Pel Set,Cleaning,68,5890000.0,unit,2026-06-03,Toko Utama
CLN-0111,Lap Pel Set Pro,Cleaning,100,6764500.0,lusin,2027-09-04,Toko Utama
FNB-0148,Susu UHT 1L Seri-148,Food & Beverage,177,7316500.0,unit,2028-04-07,Gudang A
CLT-0143,Kacamata Safety Seri-143,Clothing,11,5770000.0,box,,Gudang A
CLT-0145,Topi Proyek Seri-145,Clothing,17,9359500.0,lusin,,Toko Utama
STN-0128,Amplop Coklat Seri-128,Stationary,187,376500.0,unit,,Gudang B
FNB-0150,Sirup Marjan Seri-150,Food & Beverage,158,3550500.0,unit,2027-08-20,Toko Utama
TLS-0131,Obeng Set Seri-131,Tools,126,1365500.0,box,,Gudang A
TLS-0132,Tang Kombinasi Seri-132,Tools,6,3479500.0,lusin,,Gudang A
STN-0130,Map Plastik Seri-130,Stationary,64,13567000.0,unit,,Gudang A
STN-0133,Pulpen Ballpoint Seri-133,Stationary,186,1147000.0,lusin,,Gudang A
STN-0136,Pulpen Ballpoint Seri-136,Stationary,62,1171000.0,pcs,,Gudang A
CLT-0039,Seragam Staff,Clothing,174,13622000.0,unit,,Rak C1
TLS-0146,Meteran 5m Seri-146,Tools,71,624000.0,box,,Gudang B
TLS-0147,Cutter Besar Seri-147,Tools,37,6949500.0,unit,,Gudang B
STN-0140,Pulpen Ballpoint Seri-140,Stationary,40,5623000.0,box,,Toko Utama
CLT-0040,Seragam Staff Pro,Clothing,143,4313000.0,unit,,Toko Utama
CLT-0041,Seragam Security,Clothing,146,3269500.0,lusin,,Toko Utama
